version,run_id,evidence_type,currency,basket_id,S0,m0,C0,L0,H0,strategy,S,C,L,H_strategy,f,fixed_charge,unit_contribution,delta_unit_vs_reference,delta_unit_vs_absorb
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H2,80,0.30,56.00,4,2,REFERENCE,80,56.00,4,2,0,0,20.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H2,80,0.30,56.00,4,2,ABSORB,80,56.00,4,2,3,6,14.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H2,80,0.30,56.00,4,2,PASS_HALF,83.00,56.00,4,2,3,6,17.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H2,80,0.30,56.00,4,2,PASS_FULL,86,56.00,4,2,3,6,20.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H2,80,0.30,56.00,4,2,ADD_SAME_CATEGORY,100.00,70.0000,5,2,3,6,19.0000,-1.0000,5.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H2,80,0.30,56.00,4,2,ADD_NEW_CATEGORY,100.00,70.0000,5,3,3,9,16.0000,-4.0000,2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H3,80,0.30,56.00,4,3,REFERENCE,80,56.00,4,3,0,0,20.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H3,80,0.30,56.00,4,3,ABSORB,80,56.00,4,3,3,9,11.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H3,80,0.30,56.00,4,3,PASS_HALF,84.50,56.00,4,3,3,9,15.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H3,80,0.30,56.00,4,3,PASS_FULL,89,56.00,4,3,3,9,20.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H3,80,0.30,56.00,4,3,ADD_SAME_CATEGORY,100.00,70.0000,5,3,3,9,16.0000,-4.0000,5.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m30_H3,80,0.30,56.00,4,3,ADD_NEW_CATEGORY,100.00,70.0000,5,4,3,12,13.0000,-7.0000,2.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H1,80,0.40,48.00,4,1,REFERENCE,80,48.00,4,1,0,0,28.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H1,80,0.40,48.00,4,1,ABSORB,80,48.00,4,1,3,3,25.00,-3.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H1,80,0.40,48.00,4,1,PASS_HALF,81.50,48.00,4,1,3,3,26.50,-1.50,1.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H1,80,0.40,48.00,4,1,PASS_FULL,83,48.00,4,1,3,3,28.00,0.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H1,80,0.40,48.00,4,1,ADD_SAME_CATEGORY,100.00,60.0000,5,1,3,3,32.0000,4.0000,7.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H1,80,0.40,48.00,4,1,ADD_NEW_CATEGORY,100.00,60.0000,5,2,3,6,29.0000,1.0000,4.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H2,80,0.40,48.00,4,2,REFERENCE,80,48.00,4,2,0,0,28.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H2,80,0.40,48.00,4,2,ABSORB,80,48.00,4,2,3,6,22.00,-6.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H2,80,0.40,48.00,4,2,PASS_HALF,83.00,48.00,4,2,3,6,25.00,-3.00,3.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H2,80,0.40,48.00,4,2,PASS_FULL,86,48.00,4,2,3,6,28.00,0.00,6.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H2,80,0.40,48.00,4,2,ADD_SAME_CATEGORY,100.00,60.0000,5,2,3,6,29.0000,1.0000,7.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H2,80,0.40,48.00,4,2,ADD_NEW_CATEGORY,100.00,60.0000,5,3,3,9,26.0000,-2.0000,4.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H3,80,0.40,48.00,4,3,REFERENCE,80,48.00,4,3,0,0,28.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H3,80,0.40,48.00,4,3,ABSORB,80,48.00,4,3,3,9,19.00,-9.00,0.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H3,80,0.40,48.00,4,3,PASS_HALF,84.50,48.00,4,3,3,9,23.50,-4.50,4.50
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H3,80,0.40,48.00,4,3,PASS_FULL,89,48.00,4,3,3,9,28.00,0.00,9.00
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H3,80,0.40,48.00,4,3,ADD_SAME_CATEGORY,100.00,60.0000,5,3,3,9,26.0000,-2.0000,7.0000
cost01-fixed-fee-v1,cost01-synthetic-01,synthetic_scenario,EUR_scenario,S80_m40_H3,80,0.40,48.00,4,3,ADD_NEW_CATEGORY,100.00,60.0000,5,4,3,12,23.0000,-5.0000,4.0000
